species,site_id,year,doy,phenophase
populus tremuloides,16374,2014,44,371
populus tremuloides,2330,2011,47,371
populus tremuloides,2330,2010,48,371
populus tremuloides,22163,2017,66,371
populus tremuloides,25103,2017,64,371
populus tremuloides,1020,2009,73,371
populus tremuloides,26095,2017,80,371
populus tremuloides,22332,2016,72,371
populus tremuloides,2390,2012,80,371
populus tremuloides,18178,2015,75,371
populus tremuloides,606,2012,80,371
populus tremuloides,22332,2017,79,371
populus tremuloides,26092,2017,84,371
populus tremuloides,26098,2017,87,371
populus tremuloides,8309,2017,88,371
populus tremuloides,16901,2014,86,371
populus tremuloides,19751,2015,82,371
populus tremuloides,25616,2017,85,371
populus tremuloides,5356,2012,86,371
populus tremuloides,5356,2012,86,371
populus tremuloides,5356,2012,86,371
populus tremuloides,5356,2012,86,371
populus tremuloides,5951,2011,87,371
populus tremuloides,26096,2017,89,371
populus tremuloides,261,2012,88,371
populus tremuloides,962,2012,88,371
populus tremuloides,2390,2010,88,371
populus tremuloides,9052,2013,86,371
populus tremuloides,26157,2017,91,371
populus tremuloides,5364,2011,93,371
populus tremuloides,26090,2017,92,371
populus tremuloides,5157,2010,92,371
populus tremuloides,8309,2015,92,371
populus tremuloides,8309,2015,92,371
populus tremuloides,8309,2015,92,371
populus tremuloides,5509,2012,92,371
populus tremuloides,8309,2016,93,371
populus tremuloides,22706,2016,92,371
populus tremuloides,26059,2017,86,371
populus tremuloides,5327,2012,91,371
populus tremuloides,844,2009,88,371
populus tremuloides,1526,2009,96,371
populus tremuloides,24514,2017,98,371
populus tremuloides,962,2011,89,371
populus tremuloides,10164,2013,94,371
populus tremuloides,16692,2014,98,371
populus tremuloides,2316,2012,94,371
populus tremuloides,2316,2012,94,371
populus tremuloides,8309,2017,99,371
populus tremuloides,12708,2017,94,371
populus tremuloides,1524,2010,102,371
populus tremuloides,4843,2012,99,371
populus tremuloides,24514,2017,101,371
populus tremuloides,26121,2017,92,371
populus tremuloides,8309,2016,100,371
populus tremuloides,637,2010,105,371
populus tremuloides,2283,2010,106,371
populus tremuloides,5509,2010,104,371
populus tremuloides,5509,2010,104,371
populus tremuloides,10580,2016,100,371
populus tremuloides,1874,2009,106,371
populus tremuloides,22584,2017,106,371
populus tremuloides,1524,2007,107,371
populus tremuloides,5533,2014,101,371
populus tremuloides,5533,2014,101,371
populus tremuloides,5533,2014,101,371
populus tremuloides,5533,2014,101,371
populus tremuloides,5533,2014,101,371
populus tremuloides,8309,2014,106,371
populus tremuloides,5327,2015,108,371
populus tremuloides,183,2010,107,371
populus tremuloides,2313,2011,103,371
populus tremuloides,2316,2011,96,371
populus tremuloides,5356,2011,107,371
populus tremuloides,5356,2011,107,371
populus tremuloides,5356,2011,107,371
populus tremuloides,5356,2011,107,371
populus tremuloides,5356,2011,107,371
populus tremuloides,6311,2010,108,371
populus tremuloides,6362,2016,106,371
populus tremuloides,6362,2016,106,371
populus tremuloides,6362,2016,103,371
populus tremuloides,16356,2015,109,371
populus tremuloides,17702,2015,106,371
populus tremuloides,17702,2016,108,371
populus tremuloides,21944,2016,108,371
populus tremuloides,48,2012,108,371
populus tremuloides,2410,2010,107,371
populus tremuloides,5509,2016,108,371
populus tremuloides,5951,2012,106,371
populus tremuloides,22765,2016,110,371
populus tremuloides,1737,2009,111,371
populus tremuloides,5509,2015,108,371
populus tremuloides,8309,2014,110,371
populus tremuloides,17680,2016,111,371
populus tremuloides,17680,2016,110,371
populus tremuloides,17680,2016,110,371
populus tremuloides,5951,2009,110,371
populus tremuloides,5951,2010,110,371
populus tremuloides,18525,2016,112,371
populus tremuloides,744,2009,104,371
populus tremuloides,1524,2008,114,371
populus tremuloides,1880,2009,108,371
populus tremuloides,5327,2016,112,371
populus tremuloides,6362,2014,112,371
populus tremuloides,6362,2014,112,371
populus tremuloides,1597,2010,110,371
populus tremuloides,2313,2014,111,371
populus tremuloides,2410,2012,112,371
populus tremuloides,5424,2012,114,371
populus tremuloides,8921,2016,112,371
populus tremuloides,16356,2016,110,371
populus tremuloides,1658,2009,116,371
populus tremuloides,2410,2010,114,371
populus tremuloides,2803,2012,115,371
populus tremuloides,2803,2012,115,371
populus tremuloides,8921,2013,114,371
populus tremuloides,8921,2013,114,371
populus tremuloides,414,2009,115,371
populus tremuloides,5533,2013,110,371
populus tremuloides,5533,2013,110,371
populus tremuloides,5533,2013,110,371
populus tremuloides,5533,2013,110,371
populus tremuloides,5533,2013,110,371
populus tremuloides,12708,2016,115,371
populus tremuloides,22584,2016,117,371
populus tremuloides,1795,2009,118,371
populus tremuloides,6362,2013,116,371
populus tremuloides,48,2010,118,371
populus tremuloides,637,2009,118,371
populus tremuloides,12708,2015,116,371
populus tremuloides,2390,2011,117,371
populus tremuloides,2390,2013,119,371
populus tremuloides,5509,2009,117,371
populus tremuloides,5509,2009,117,371
populus tremuloides,17414,2016,118,371
populus tremuloides,962,2010,112,371
populus tremuloides,17702,2014,118,371
populus tremuloides,1598,2010,119,371
populus tremuloides,17414,2015,122,371
populus tremuloides,1657,2009,122,371
populus tremuloides,1807,2009,122,371
populus tremuloides,1879,2009,120,371
populus tremuloides,2390,2014,120,371
populus tremuloides,2410,2010,120,371
populus tremuloides,2410,2016,120,371
populus tremuloides,2410,2016,120,371
populus tremuloides,2410,2010,120,371
populus tremuloides,8987,2016,116,371
populus tremuloides,12709,2015,122,371
populus tremuloides,12709,2015,122,371
populus tremuloides,17680,2015,117,371
